##Databases: PANTHER, KEGG PATHWAY, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
suberin monomers biosynthesis	BioCyc	PWY-1121	2	29	0.640742713883	0.932855049838	830302|842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-1121
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	ath00520	7	122	0.641437305494	0.932855049838	834883|832042|839660|818964|842961|821499|816697	http://www.genome.jp/kegg-bin/show_pathway?ath00520/ath:AT1G66430%09red/ath:AT1G27680%09red/ath:AT5G48300%09red/ath:AT2G43620%09red/ath:AT2G21590%09red/ath:AT5G19220%09red/ath:AT3G19620%09red
Protein export	KEGG PATHWAY	ath03060	3	53	0.647880575979	0.93479911677	832987|825225|827866	http://www.genome.jp/kegg-bin/show_pathway?ath03060/ath:AT5G28750%09red/ath:AT4G21180%09red/ath:AT3G60540%09red
UTP and CTP dephosphorylation I	BioCyc	PWY-7185	1	14	0.657911929978	0.935902886307	2746218	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7185
stachyose degradation	BioCyc	PWY-6527	1	14	0.657911929978	0.935902886307	830735	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6527
superpathway of phenylalanine and tyrosine biosynthesis	BioCyc	PWY-3481	1	14	0.657911929978	0.935902886307	837725	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3481
D-sorbitol degradation I	BioCyc	PWY-4101	1	15	0.681548544241	0.95539448253	842961	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4101
lysine biosynthesis VI	BioCyc	PWY-5097	1	15	0.681548544241	0.95539448253	831255	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5097
Other glycan degradation	KEGG PATHWAY	ath00511	1	18	0.684226411581	0.95539448253	843109	http://www.genome.jp/kegg-bin/show_pathway?ath00511/ath:AT1G67830%09red
Histidine metabolism	KEGG PATHWAY	ath00340	1	18	0.684226411581	0.95539448253	837509	http://www.genome.jp/kegg-bin/show_pathway?ath00340/ath:AT1G09795%09red
Arginine and proline metabolism	KEGG PATHWAY	ath00330	4	75	0.690783950759	0.958932778473	823899|833535|818566|828665	http://www.genome.jp/kegg-bin/show_pathway?ath00330/ath:AT2G39800%09red/ath:AT5G35630%09red/ath:AT4G25600%09red/ath:AT3G47450%09red
glucose and xylose degradation	BioCyc	PWY-6901	3	48	0.693090028005	0.958932778473	825414|840098|820461	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6901
superpathway of isoleucine and valine biosynthesis	BioCyc	ILE-VAL-PWY	1	16	0.703555165009	0.959294854372	838755	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=ILE-VAL-PWY
superpathway of pyrimidine nucleobases salvage	BioCyc	PWY-7208	1	16	0.703555165009	0.959294854372	824557	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7208
isoleucine biosynthesis I (from threonine)	BioCyc	ILEUSYN-PWY	1	16	0.703555165009	0.959294854372	838755	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=ILEUSYN-PWY
superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	BioCyc	COMPLETE-ARO-ARA-PWY	2	33	0.706015684901	0.959294854372	830457|837725	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=COMPLETE-ARO-ARA-PWY
plant sterol biosynthesis	BioCyc	PWY-2541	2	34	0.720706487907	0.959656345312	838621|818012	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-2541
superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	BioCyc	PWY-5312	1	17	0.724043978069	0.959656345312	822646	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5312
glutamine degradation I	BioCyc	GLUTAMINDEG-PWY	1	17	0.724043978069	0.959656345312	836625	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=GLUTAMINDEG-PWY
pantothenate and coenzyme A biosynthesis II	BioCyc	PWY-4221	1	17	0.724043978069	0.959656345312	819219	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4221
pyrimidine ribonucleotides interconversion	BioCyc	PWY-5687	1	17	0.724043978069	0.959656345312	2746218	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5687
cellulose biosynthesis	BioCyc	PWY-1001	1	18	0.743119463027	0.959656345312	817815	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-1001
Base excision repair	KEGG PATHWAY	ath03410	2	43	0.751454123306	0.959656345312	831239|834497	http://www.genome.jp/kegg-bin/show_pathway?ath03410/ath:AT5G13920%09red/ath:AT5G44680%09red
Folate biosynthesis	KEGG PATHWAY	ath00790	1	22	0.752333195782	0.959656345312	835895	http://www.genome.jp/kegg-bin/show_pathway?ath00790/ath:AT5G57850%09red
Propanoate metabolism	KEGG PATHWAY	ath00640	1	22	0.752333195782	0.959656345312	831500	http://www.genome.jp/kegg-bin/show_pathway?ath00640/ath:AT5G16390%09red
Pyruvate metabolism	KEGG PATHWAY	ath00620	4	83	0.760708432421	0.959656345312	818860|835945|831500|835168	http://www.genome.jp/kegg-bin/show_pathway?ath00620/ath:AT2G42600%09red/ath:AT5G16390%09red/ath:AT5G50950%09red/ath:AT5G58330%09red
tryptophan biosynthesis	BioCyc	TRPSYN-PWY	1	19	0.760878921614	0.959656345312	830457	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=TRPSYN-PWY
flavonoid biosynthesis (in equisetum)	BioCyc	PWY-6787	1	19	0.760878921614	0.959656345312	824678	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6787
superpathway of sucrose and starch metabolism I (non-photosynthetic tissue)	BioCyc	PWYQT-4466	2	37	0.761104489405	0.959656345312	837777|842961	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4466
Sesquiterpenoid and triterpenoid biosynthesis	KEGG PATHWAY	ath00909	1	23	0.766930939487	0.959656345312	829617	http://www.genome.jp/kegg-bin/show_pathway?ath00909/ath:AT4G34650%09red
Isoquinoline alkaloid biosynthesis	KEGG PATHWAY	ath00950	1	23	0.766930939487	0.959656345312	816553	http://www.genome.jp/kegg-bin/show_pathway?ath00950/ath:AT2G20340%09red
26,27-dehydrozymosterol metabolism	BioCyc	PWY-6424	2	38	0.77340105571	0.959656345312	838621|834422	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6424
pyrimidine deoxyribonucleotides biosynthesis from CTP	BioCyc	PWY-7210	1	20	0.777412969852	0.959656345312	2746218	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7210
Wnt signaling pathway	PANTHER	P00057	1	54	0.78178399592	0.959656345312	829437	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00057
superpathway of leucine, valine, and isoleucine biosynthesis	BioCyc	BRANCHED-CHAIN-AA-SYN-PWY	1	21	0.792805996532	0.959656345312	838755	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=BRANCHED-CHAIN-AA-SYN-PWY
pyrimidine deoxyribonucleotides de novo biosynthesis I	BioCyc	PWY-7184	1	21	0.792805996532	0.959656345312	2746218	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7184
superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)	BioCyc	PWY-5313	1	21	0.792805996532	0.959656345312	822646	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5313
ethanol degradation I	BioCyc	ETOH-ACETYLCOA-ANA-PWY	1	21	0.792805996532	0.959656345312	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=ETOH-ACETYLCOA-ANA-PWY
sinapate ester biosynthesis	BioCyc	PWY-3301	2	40	0.796345298959	0.959656345312	840045|827222	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3301
glutathione-mediated detoxification II	BioCyc	PWY-6842	3	58	0.802070243404	0.959656345312	831532|844173|837575	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6842
Glycine, serine and threonine metabolism	KEGG PATHWAY	ath00260	3	69	0.803999352534	0.959656345312	831255|843129|821482	http://www.genome.jp/kegg-bin/show_pathway?ath00260/ath:AT5G14060%09red/ath:AT1G68010%09red/ath:AT3G19480%09red
Sphingolipid metabolism	KEGG PATHWAY	ath00600	1	26	0.80576822628	0.959656345312	830735	http://www.genome.jp/kegg-bin/show_pathway?ath00600/ath:AT5G08370%09red
Ether lipid metabolism	KEGG PATHWAY	ath00565	1	26	0.80576822628	0.959656345312	815261	http://www.genome.jp/kegg-bin/show_pathway?ath00565/ath:AT2G06925%09red
tRNA charging	BioCyc	TRNA-CHARGING-PWY	2	41	0.807029100138	0.959656345312	817126|824797	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=TRNA-CHARGING-PWY
phenylalanine degradation III	BioCyc	PWY-5079	1	22	0.807136590318	0.959656345312	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5079
TCA cycle II (plants and fungi)	BioCyc	PWY-5690	1	22	0.807136590318	0.959656345312	835168	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5690
homogalacturonan degradation	BioCyc	PWY-1081	6	108	0.807631577737	0.959656345312	836357|825384|834800|819728|835418|834981	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-1081
chitin degradation II	BioCyc	PWY-6902	1	23	0.820477937616	0.961923421481	818964	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6902
TCA cycle variation V (plant)	BioCyc	PWYQT-4481	1	23	0.820477937616	0.961923421481	835168	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4481
Glycolysis / Gluconeogenesis	KEGG PATHWAY	ath00010	5	112	0.825707380703	0.961923421481	830052|828758|820461|824572|816672	http://www.genome.jp/kegg-bin/show_pathway?ath00010/ath:AT2G21330%09red/ath:AT3G12780%09red/ath:AT3G54050%09red/ath:AT4G38970%09red/ath:AT4G26520%09red
Pantothenate and CoA biosynthesis	KEGG PATHWAY	ath00770	1	28	0.827998717911	0.961923421481	819219	http://www.genome.jp/kegg-bin/show_pathway?ath00770/ath:AT2G46110%09red
salvage pathways of pyrimidine ribonucleotides	BioCyc	PWY0-163	1	24	0.832898193199	0.961923421481	824557	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY0-163
1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	BioCyc	PWY-6362	1	24	0.832898193199	0.961923421481	817761	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6362
thalianol and derivatives biosynthesis	BioCyc	PWY-5992	1	24	0.832898193199	0.961923421481	844185	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5992
phosphatidate metabolism, as a signaling molecule	BioCyc	PWY-7039	1	25	0.844460825459	0.961923421481	823882	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7039
pyruvate fermentation to ethanol II	BioCyc	PWY-5486	1	25	0.844460825459	0.961923421481	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5486
acetaldehyde biosynthesis I	BioCyc	PWY-6333	1	25	0.844460825459	0.961923421481	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6333
sucrose degradation II (sucrose synthase)	BioCyc	PWY-3801	1	25	0.844460825459	0.961923421481	842961	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3801
superpathway of lysine, threonine and methionine biosynthesis II	BioCyc	PWY-724	1	26	0.855224938016	0.964903822996	831255	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-724
jasmonic acid biosynthesis	BioCyc	PWY-735	1	26	0.855224938016	0.964903822996	822167	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-735
Galactose metabolism	KEGG PATHWAY	ath00052	2	55	0.856630786752	0.964903822996	837777|830735	http://www.genome.jp/kegg-bin/show_pathway?ath00052/ath:AT1G12240%09red/ath:AT5G08370%09red
phospholipid biosynthesis II	BioCyc	PHOSLIPSYN2-PWY	1	27	0.865245569297	0.968689070345	821418	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PHOSLIPSYN2-PWY
Biosynthesis of amino acids	KEGG PATHWAY	ath01230	12	255	0.868393068859	0.968689070345	828758|837509|820461|837725|818566|830457|816672|833535|830052|832873|831255|821482	http://www.genome.jp/kegg-bin/show_pathway?ath01230/ath:AT5G14060%09red/ath:AT1G09795%09red/ath:AT2G21330%09red/ath:AT5G28030%09red/ath:AT5G35630%09red/ath:AT3G19480%09red/ath:AT4G26520%09red/ath:AT3G12780%09red/ath:AT5G05730%09red/ath:AT1G11790%09red/ath:AT2G39800%09red/ath:AT4G38970%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	ath00400	2	57	0.869582267768	0.968689070345	830457|837725	http://www.genome.jp/kegg-bin/show_pathway?ath00400/ath:AT1G11790%09red/ath:AT5G05730%09red
Plant-pathogen interaction	KEGG PATHWAY	ath04626	7	164	0.882845356785	0.97674136831	843697|823899|828283|819968|818708|831393|819253	http://www.genome.jp/kegg-bin/show_pathway?ath04626/ath:AT4G21940%09red/ath:AT3G47450%09red/ath:AT3G07770%09red/ath:AT2G41090%09red/ath:AT2G46450%09red/ath:AT1G73630%09red/ath:AT5G15410%09red
D-myo-inositol (1,4,5)-trisphosphate biosynthesis	BioCyc	PWY-6351	1	29	0.883257871013	0.97674136831	823882	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6351
cholesterol biosynthesis I	BioCyc	PWY66-341	1	30	0.891341709584	0.982096501833	828374	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY66-341
ethanol degradation II	BioCyc	PWY66-21	1	31	0.898866870816	0.986799499482	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY66-21
superpathway of pyrimidine ribonucleosides salvage	BioCyc	PWY-7196	1	32	0.905871889762	0.990899576166	824557	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7196
Inositol phosphate metabolism	KEGG PATHWAY	ath00562	2	65	0.91132001671	0.992425416541	830881|821206	http://www.genome.jp/kegg-bin/show_pathway?ath00562/ath:AT5G10170%09red/ath:AT3G02870%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	ath04070	2	66	0.915554825876	0.992425416541	818708|821206	http://www.genome.jp/kegg-bin/show_pathway?ath04070/ath:AT2G41090%09red/ath:AT3G02870%09red
Tyrosine metabolism	KEGG PATHWAY	ath00350	1	40	0.917092794163	0.992425416541	816553	http://www.genome.jp/kegg-bin/show_pathway?ath00350/ath:AT2G20340%09red
Sulfur metabolism	KEGG PATHWAY	ath00920	1	41	0.921987434078	0.99417150365	832873	http://www.genome.jp/kegg-bin/show_pathway?ath00920/ath:AT5G28030%09red
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	BioCyc	PWY-7211	1	36	0.929372137498	0.998580700929	2746218	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7211
NAD/NADH phosphorylation and dephosphorylation	BioCyc	PWY-5083	2	62	0.941471302853	0.99995412196	837229|843413	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5083
Cysteine and methionine metabolism	KEGG PATHWAY	ath00270	3	99	0.944046420475	0.99995412196	832873|831255|827640	http://www.genome.jp/kegg-bin/show_pathway?ath00270/ath:AT5G14060%09red/ath:AT5G28030%09red/ath:AT4G19020%09red
aerobic respiration (alternative oxidase pathway)	BioCyc	PWY-4302	2	68	0.95906183284	0.99995412196	837229|843413	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4302
tetrahydrofolate biosynthesis II	BioCyc	PWY-3742	2	73	0.969737673147	0.99995412196	824506|835895	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3742
Phenylalanine metabolism	KEGG PATHWAY	ath00360	3	114	0.971642788859	0.99995412196	834012|830302|842814	http://www.genome.jp/kegg-bin/show_pathway?ath00360/ath:AT1G65060%09red/ath:AT5G40150%09red/ath:AT5G04230%09red
Plant hormone signal transduction	KEGG PATHWAY	ath04075	10	271	0.971919138024	0.99995412196	829564|830039|818903|817956|829631|842068|827989|835539|824880|814707	http://www.genome.jp/kegg-bin/show_pathway?ath04075/ath:AT1G56150%09red/ath:AT5G54510%09red/ath:AT4G34790%09red/ath:AT4G34160%09red/ath:AT4G00880%09red/ath:AT2G01760%09red/ath:AT2G33860%09red/ath:AT3G57130%09red/ath:AT4G38840%09red/ath:AT2G43010%09red
Citrate cycle (TCA cycle)	KEGG PATHWAY	ath00020	1	62	0.97829253181	0.99995412196	835168	http://www.genome.jp/kegg-bin/show_pathway?ath00020/ath:AT5G50950%09red
aerobic respiration (cytochrome c) (yeast)	BioCyc	PWY-7279	1	54	0.98064908791	0.99995412196	843413	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7279
Purine metabolism	KEGG PATHWAY	ath00230	4	157	0.98730376248	0.99995412196	833471|834835|827575|2746218	http://www.genome.jp/kegg-bin/show_pathway?ath00230/ath:AT5G35170%09red/ath:AT5G66005%09red/ath:AT4G18440%09red/ath:AT5G47840%09red
folate polyglutamylation	BioCyc	PWY-2161	1	61	0.988315047332	0.99995412196	824506	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-2161
aerobic respiration (cytochrome c)	BioCyc	PWY-3781	2	89	0.988739942094	0.99995412196	837229|843413	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3781
Oxidative phosphorylation	KEGG PATHWAY	ath00190	4	162	0.9898499155	0.99995412196	825797|826551|829359|835841	http://www.genome.jp/kegg-bin/show_pathway?ath00190/ath:AT4G09650%09red/ath:AT4G32260%09red/ath:AT4G04640%09red/ath:AT5G57350%09red
Aminoacyl-tRNA biosynthesis	KEGG PATHWAY	ath00970	2	115	0.993286063868	0.99995412196	817126|824797	http://www.genome.jp/kegg-bin/show_pathway?ath00970/ath:AT3G56300%09red/ath:AT2G25840%09red
betanidin degradation	BioCyc	PWY-5461	1	72	0.994716775434	0.99995412196	834012	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5461
baicalein degradation (hydrogen peroxide detoxification)	BioCyc	PWY-7214	1	72	0.994716775434	0.99995412196	834012	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7214
Phagosome	KEGG PATHWAY	ath04145	1	86	0.994984149803	0.99995412196	825225	http://www.genome.jp/kegg-bin/show_pathway?ath04145/ath:AT3G60540%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	ath04141	5	220	0.997608873941	0.99995412196	827866|825225|841843|824547|819968	http://www.genome.jp/kegg-bin/show_pathway?ath04141/ath:AT1G54050%09red/ath:AT3G07770%09red/ath:AT4G21180%09red/ath:AT3G53800%09red/ath:AT3G60540%09red
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	ath03008	1	101	0.997995766419	0.99995412196	824172	http://www.genome.jp/kegg-bin/show_pathway?ath03008/ath:AT3G50100%09red
Pyrimidine metabolism	KEGG PATHWAY	ath00240	1	116	0.999200187813	0.99995412196	824557	http://www.genome.jp/kegg-bin/show_pathway?ath00240/ath:AT3G53900%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	ath04120	1	149	0.999894492869	0.99995412196	826591	http://www.genome.jp/kegg-bin/show_pathway?ath04120/ath:AT4G10000%09red
Ribosome	KEGG PATHWAY	ath03010	7	360	0.99995412196	0.99995412196	822403|837243|843836|816943|842759|838332|840194	http://www.genome.jp/kegg-bin/show_pathway?ath03010/ath:AT1G32990%09red/ath:AT1G07320%09red/ath:AT1G17560%09red/ath:AT3G27830%09red/ath:AT1G64510%09red/ath:AT2G24090%09red/ath:AT1G74970%09red

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
